"","cluster_assignment","id","name","IBU","ABV","SRM"
"1","1","c4f2KE","'Murican Pilsner",-0.394832070025847,-0.552494067667857,-0.927379435174699
"2","1","zfP2fK","12th Of Never",-0.22861216218807,-0.799854527602057,-0.447216681911477
"3","1","xwYSL2","15th Anniversary Ale",-0.157375058829022,-0.662432049860835,-0.359914363136346
"4","2","UJGpVS","16 So Fine Red Wheat Wine",1.14863850275351,2.03104851386712,-0.31626320374878
"5","4","vz5JZ1","1794 The Fergal Project",0.317538963564627,0.409463276520699,2.17185288134246
"6","8","LcpeBb","17th Saison",-0.513560575624259,-0.00280415670296819,-0.534519000686608
"7","3","Yd8G8r","18th Anniversary Belgian Tripel",-0.394832070025847,1.09657566522681,-0.752774797624436
"8","9","O78ldO","1904 American Red Lager",-1.51088002265092,-1.15715296972923,-1.0583329133374
"9","4","MgdJep","200th Anniversary Export Stout",0.198810457966215,0.546885754261921,2.17185288134246
"10","10","ISTT06","2017 Beer Camp",0.911181491556689,0.217071807682988,-0.447216681911477
"11","2","v4KRep","20th Anniversary Imperial Hash IPA on Brett",1.9797380419424,1.37142062070925,-0.534519000686608
"12","11","e9sjBk","21st Anniversary",-0.988474598017909,-0.470040581023124,0.0765972307393107
"13","4","YZXVKq","25th Anniversary",0.0800819523678023,0.546885754261921,2.17185288134246
"14","8","f5CWb6","30th Anniversary - Charlie, Fred & Ken's Bock",-0.561051977863624,0.272040798779476,-0.709123638236871
"15","4","0KEzfx","30th Anniversary - Fritz and Ken's Ale",1.14863850275351,1.6462655761917,2.17185288134246
"16","2","8M5lCq","30th Anniversary - Jack & Ken's Ale",1.86100953634399,2.03104851386712,0.120248390126876
"17","3","ajbd6g","35th Anniversary  - Brewer's Reserve",0.317538963564627,1.37142062070925,-0.0543562474233861
"18","1","NoNhan","420 Extra Pale Ale",-0.22861216218807,-0.799854527602057,-0.447216681911477
"19","2","pOUbfg","420 Fest",1.9797380419424,1.37142062070925,-0.534519000686608
"20","10","jIKwgZ","420 Strain G13 IPA",0.911181491556689,0.217071807682988,-0.447216681911477
"21","2","lWygSS","471 Double IPA - Hull Melon",1.9797380419424,1.37142062070925,-0.534519000686608
"22","1","fa0oqf","471 ESB - Extra Special Bitter",-0.157375058829022,-0.662432049860835,-0.359914363136346
"23","2","HZMvCT","471 IPA Barrel Series: Citra",1.9797380419424,1.37142062070925,-0.534519000686608
"24","2","GysKeq","471 IPA Barrel Series: Eureka!",1.9797380419424,1.37142062070925,-0.534519000686608
"25","2","tw2Iw0","471 IPA. Aggressive Hoppiness",1.9797380419424,1.37142062070925,-0.534519000686608
"26","1","GYF0P4","471 Pilsner",-0.394832070025847,-0.552494067667857,-0.927379435174699
"27","10","j9cp5e","471 Small Batch IPA",0.911181491556689,0.217071807682988,-0.447216681911477
"28","10","5MX880","5 C's IPA",0.911181491556689,0.217071807682988,-0.447216681911477
"29","1","uA3MVL","7 Birds",-0.394832070025847,-0.552494067667857,-0.927379435174699
"30","1","Fhw2NF","7 Cities Pilsner",-0.394832070025847,-0.552494067667857,-0.927379435174699
"31","4","MqTIG4","72 Imperial",0.0800819523678023,1.6462655761917,2.17185288134246
"32","8","wDgaK8","A Beer Named Sue",-0.513560575624259,-0.00280415670296819,-0.534519000686608
"33","2","Au0v9G","A Little Sumpin' Extra",1.9797380419424,1.37142062070925,-0.534519000686608
"34","1","svXHfu","A Little Sumpin' Sumpin'",-0.22861216218807,-0.799854527602057,-0.447216681911477
"35","1","hbF6tu","ABLE Best Britter",-0.3235949666668,-1.12966847418099,-0.447216681911477
"36","1","MTLa3r","Afternooner",-0.751017586821084,-0.827339023150302,-0.534519000686608
"37","7","6AcqY6","Agave Wheat",-0.869746092419496,-1.10218397863275,-0.709123638236871
"38","1","RK9Po6","Ale 20",-0.22861216218807,-0.799854527602057,-0.447216681911477
"39","2","yn4ODI","Ale Communication",1.38609551395034,1.48135860290223,-0.228960884973649
"40","7","2cLm8B","All Colorado Apricot Wheat",-0.869746092419496,-1.15715296972923,-0.796425957012002
"41","1","DbeLZF","All Colorado Wet Hop Pale Ale",-0.22861216218807,-0.799854527602057,-0.447216681911477
"42","2","aG4Ie2","Alpha Dog Imperial IPA",1.9797380419424,1.37142062070925,-0.534519000686608
"43","1","hYaduh","Alt Route - Beer Camp Across America",-0.109883656589657,-0.88230801424679,-0.0107050880358205
"44","1","5TQX99","ALTitude",-0.109883656589657,-0.88230801424679,-0.0107050880358205
"45","1","qIa0fL","Amber Beer",-0.276103564427435,-0.689916545409079,-0.0543562474233861
"46","7","Zd8Cxd","American Summer Hoppy Wit",-1.29716871257378,-0.827339023150302,-1.0583329133374
"47","2","Ota9wv","Anejo Tequila Barrel Aged Gubna",1.38609551395034,1.48135860290223,-0.228960884973649
"48","1","b6nCMj","Anniversary Ale",-0.22861216218807,-0.799854527602057,-0.447216681911477
"49","10","fBZZUJ","Anniversary Ale",0.911181491556689,0.217071807682988,-0.447216681911477
"50","10","iEMsk8","Anniversary Ale 2007",0.911181491556689,0.217071807682988,-0.447216681911477
